loan_id,customer_id,loan_amount,loan_term_months,interest_rate,loan_type,loan_status,loan_issue_date,loan_end_date
L002676,C06252,1300818,180,9.52,Personal Loan,Closed,2021-02-02,2035-11-16
L002677,C02498,2938562,180,9.77,Business Loan,Defaulted,2024-01-31,2038-11-13
L002678,C00726,1318292,36,15.27,Home Loan,Defaulted,2021-06-13,2024-05-28
L002679,C09290,467988,120,15.16,Credit Line,Active,2023-05-30,2033-04-07
L002680,C06608,2464402,120,10.92,Business Loan,Active,2025-01-22,2034-12-01
L002681,C09010,4146705,48,15.12,Home Loan,Active,2024-04-20,2028-03-30
L002682,C00934,2088112,240,17.37,Auto Loan,Active,2022-07-17,2042-04-03
L002683,C03559,3871565,180,8.86,Auto Loan,Active,2024-09-02,2039-06-16
L002684,C01326,2977359,180,15.19,Business Loan,Defaulted,2023-07-10,2038-04-22
L002685,C08282,2133770,24,14.47,Credit Line,Active,2024-11-06,2026-10-27
L002686,C07521,2216078,48,17.85,Home Loan,Active,2021-03-25,2025-03-04
L002687,C02355,1034501,48,13.15,Auto Loan,Closed,2025-04-14,2029-03-24
L002688,C09370,1928283,84,12.9,Home Loan,Closed,2025-09-15,2032-08-09
L002689,C09728,3590990,12,9.07,Auto Loan,Active,2022-07-16,2023-07-11
L002690,C06600,2575843,60,10.29,Home Loan,Active,2023-11-06,2028-10-10
L002691,C09292,1709057,48,11.72,Credit Line,Active,2024-07-11,2028-06-20
L002692,C01734,4218190,60,10.75,Credit Line,Active,2021-05-19,2026-04-23
L002693,C07186,4312968,48,8.01,Home Loan,Active,2023-02-13,2027-01-23
L002694,C08788,3822390,120,16.65,Personal Loan,Closed,2024-04-06,2034-02-13
L002695,C03491,650414,36,7.35,Credit Line,Active,2023-03-11,2026-02-23
L002696,C06573,2284337,12,11.46,Personal Loan,Closed,2022-12-12,2023-12-07
L002697,C06107,3440917,36,11.86,Education Loan,Active,2024-02-08,2027-01-23
L002698,C01191,4438476,84,9.69,Personal Loan,Active,2023-11-26,2030-10-20
L002699,C01504,3727681,120,8.18,Credit Line,Active,2023-07-08,2033-05-16
L002700,C06942,4675233,60,13.76,Business Loan,Closed,2024-04-13,2029-03-18
L002701,C09509,2257718,24,12.15,Personal Loan,Active,2022-10-29,2024-10-18
L002702,C04652,3954269,24,10.4,Auto Loan,Closed,2021-10-09,2023-09-29
L002703,C01816,4024049,84,17.9,Auto Loan,Active,2022-11-22,2029-10-16
L002704,C00593,1932164,120,15.37,Personal Loan,Active,2023-12-15,2033-10-23
L002705,C00409,3113932,120,17.66,Education Loan,Active,2021-02-28,2031-01-07
L002706,C00963,4476892,180,13.69,Auto Loan,Active,2023-04-28,2038-02-08
L002707,C00243,2189125,12,14.06,Business Loan,Defaulted,2023-09-16,2024-09-10
L002708,C05264,4929899,84,12.82,Business Loan,Active,2023-01-17,2029-12-11
L002709,C00315,162864,12,17.08,Auto Loan,Closed,2022-06-20,2023-06-15
L002710,C05893,2338548,12,9.96,Auto Loan,Active,2025-08-11,2026-08-06
L002711,C05094,4992569,36,16.3,Home Loan,Active,2024-05-27,2027-05-12
L002712,C05998,3450881,48,10.95,Credit Line,Active,2024-05-21,2028-04-30
L002713,C04705,2040899,48,17.51,Education Loan,Closed,2023-04-19,2027-03-29
L002714,C06650,2440387,12,9.02,Credit Line,Active,2021-07-10,2022-07-05
L002715,C09509,3761229,60,12.77,Auto Loan,Active,2024-05-03,2029-04-07
L002716,C09704,2170182,48,13.64,Business Loan,Active,2024-12-21,2028-11-30
L002717,C02942,3652619,48,14.31,Home Loan,Active,2022-09-12,2026-08-22
L002718,C05168,2693073,240,11.17,Home Loan,Closed,2022-03-20,2041-12-05
L002719,C02652,1383293,84,10.8,Home Loan,Active,2024-04-14,2031-03-09
L002720,C04845,1888740,12,14.56,Auto Loan,Defaulted,2021-07-25,2022-07-20
L002721,C09177,3211754,60,15.74,Auto Loan,Active,2025-11-05,2030-10-10
L002722,C00251,4594629,48,11.15,Auto Loan,Active,2025-08-29,2029-08-08
L002723,C00525,2522544,120,10.92,Home Loan,Closed,2025-03-03,2035-01-10
L002724,C07080,2969496,84,14.54,Home Loan,Closed,2022-08-20,2029-07-14
L002725,C08564,2748140,36,8.88,Home Loan,Active,2023-02-18,2026-02-02
L002726,C07526,52606,60,7.1,Auto Loan,Active,2023-08-19,2028-07-23
L002727,C07284,985659,12,10.1,Personal Loan,Closed,2025-01-27,2026-01-22
L002728,C06080,3778602,24,11.48,Personal Loan,Active,2022-01-31,2024-01-21
L002729,C07893,2549400,84,13.17,Business Loan,Active,2022-09-11,2029-08-05
L002730,C00655,2388872,48,16.2,Home Loan,Closed,2024-09-17,2028-08-27
L002731,C09790,4653703,12,10.73,Business Loan,Active,2023-08-28,2024-08-22
L002732,C07131,2772938,120,17.01,Business Loan,Closed,2022-08-10,2032-06-18
L002733,C08603,420723,60,13.0,Auto Loan,Active,2025-04-21,2030-03-26
L002734,C09648,774671,180,7.26,Auto Loan,Active,2024-02-24,2038-12-07
L002735,C01321,3333196,48,16.58,Auto Loan,Active,2023-03-17,2027-02-24
L002736,C02991,284407,120,14.9,Business Loan,Closed,2021-08-12,2031-06-21
L002737,C03424,3502468,48,13.93,Education Loan,Active,2021-08-22,2025-08-01
L002738,C02788,1124819,60,14.97,Home Loan,Defaulted,2021-12-15,2026-11-19
L002739,C02451,119199,120,12.17,Personal Loan,Active,2021-02-23,2031-01-02
L002740,C00617,4179232,12,16.06,Education Loan,Active,2023-07-10,2024-07-04
L002741,C04188,4822524,24,9.95,Personal Loan,Closed,2024-02-08,2026-01-28
L002742,C07175,3355910,180,15.53,Personal Loan,Active,2023-05-27,2038-03-09
L002743,C02900,971145,60,17.08,Education Loan,Active,2024-07-19,2029-06-23
L002744,C05038,1194492,240,12.02,Education Loan,Active,2025-01-15,2044-10-02
L002745,C09320,4512781,240,14.07,Auto Loan,Active,2022-11-20,2042-08-07
L002746,C02909,968131,60,13.65,Home Loan,Closed,2021-12-03,2026-11-07
L002747,C00270,988913,12,7.22,Home Loan,Active,2023-04-05,2024-03-30
L002748,C01947,301338,12,16.35,Credit Line,Active,2021-09-07,2022-09-02
L002749,C02040,2546027,48,10.38,Education Loan,Active,2022-03-01,2026-02-08
L002750,C09187,3445377,60,12.43,Credit Line,Closed,2022-08-16,2027-07-21
L002751,C03448,1173411,240,17.83,Education Loan,Closed,2021-08-11,2041-04-28
L002752,C02790,138407,48,13.4,Business Loan,Active,2022-07-30,2026-07-09
L002753,C03637,1411982,120,10.94,Business Loan,Active,2024-03-05,2034-01-12
L002754,C07109,248698,48,14.91,Personal Loan,Closed,2022-11-13,2026-10-23
L002755,C01126,3466507,48,16.73,Home Loan,Active,2023-02-01,2027-01-11
L002756,C02436,2329383,60,14.39,Education Loan,Active,2022-11-22,2027-10-27
L002757,C09037,817617,36,14.91,Auto Loan,Closed,2022-10-15,2025-09-29
L002758,C04871,2405251,24,14.51,Business Loan,Active,2021-10-10,2023-09-30
L002759,C08372,3996014,120,11.77,Auto Loan,Defaulted,2023-09-27,2033-08-05
L002760,C07039,2563042,240,13.15,Personal Loan,Active,2025-08-31,2045-05-18
L002761,C01589,3306453,24,9.04,Business Loan,Active,2024-02-20,2026-02-09
L002762,C06892,156755,36,13.69,Education Loan,Closed,2024-07-27,2027-07-12
L002763,C00801,670347,180,17.0,Home Loan,Active,2023-09-19,2038-07-02
L002764,C01718,4974954,60,16.43,Personal Loan,Closed,2024-09-22,2029-08-27
L002765,C07037,3720404,12,11.43,Personal Loan,Closed,2025-10-23,2026-10-18
L002766,C09107,2755338,84,16.45,Business Loan,Active,2024-09-19,2031-08-14
L002767,C06802,4013729,12,10.15,Business Loan,Active,2022-11-01,2023-10-27
L002768,C06866,1583073,48,16.31,Home Loan,Active,2022-04-30,2026-04-09
L002769,C01773,3355052,48,16.81,Auto Loan,Active,2021-10-20,2025-09-29
L002770,C08691,4457354,48,17.86,Business Loan,Active,2022-11-13,2026-10-23
L002771,C05993,2925635,240,7.14,Home Loan,Active,2023-03-05,2042-11-20
L002772,C07905,4523150,36,11.95,Personal Loan,Closed,2025-10-10,2028-09-24
L002773,C09005,4003194,180,7.99,Personal Loan,Active,2021-01-02,2035-10-16
L002774,C00113,3051612,12,17.07,Auto Loan,Active,2024-08-14,2025-08-09
L002775,C03523,2167988,36,8.38,Home Loan,Active,2024-02-15,2027-01-30
L002776,C05570,4222934,24,14.3,Auto Loan,Closed,2025-10-05,2027-09-25
L002777,C05171,3905942,24,11.97,Auto Loan,Active,2023-03-23,2025-03-12
L002778,C07917,2194604,24,10.33,Home Loan,Closed,2025-08-03,2027-07-24
L002779,C03261,2478660,180,12.55,Auto Loan,Active,2023-03-03,2037-12-14
L002780,C03783,3271551,36,11.96,Business Loan,Active,2021-01-21,2024-01-06
L002781,C09773,3590565,240,13.89,Auto Loan,Active,2025-08-09,2045-04-26
L002782,C01455,4484841,12,17.52,Education Loan,Active,2023-01-20,2024-01-15
L002783,C02305,4252301,84,17.7,Auto Loan,Closed,2024-05-13,2031-04-07
L002784,C05037,2340855,24,12.24,Credit Line,Defaulted,2021-06-21,2023-06-11
L002785,C02104,2945056,120,7.61,Education Loan,Active,2024-04-14,2034-02-21
L002786,C04061,1962175,180,14.84,Home Loan,Active,2024-09-22,2039-07-06
L002787,C02146,4694179,180,8.47,Business Loan,Closed,2021-02-14,2035-11-28
L002788,C07604,3038897,240,15.04,Education Loan,Closed,2023-11-17,2043-08-04
L002789,C03380,1988104,120,14.65,Personal Loan,Defaulted,2024-01-25,2033-12-03
L002790,C08573,4802264,84,13.95,Auto Loan,Active,2025-10-18,2032-09-11
L002791,C00381,3906733,180,13.6,Business Loan,Active,2025-04-05,2040-01-17
L002792,C02941,4693692,180,7.78,Education Loan,Active,2023-09-19,2038-07-02
L002793,C08248,3445878,120,9.55,Credit Line,Active,2025-06-08,2035-04-17
L002794,C00580,241215,180,16.31,Auto Loan,Active,2022-04-24,2037-02-04
L002795,C00359,3569075,84,12.44,Auto Loan,Closed,2021-09-07,2028-08-01
L002796,C07771,4767040,36,15.54,Credit Line,Closed,2022-11-27,2025-11-11
L002797,C03308,4982501,48,7.87,Education Loan,Closed,2024-02-23,2028-02-02
L002798,C01813,3224786,240,15.24,Personal Loan,Active,2024-02-23,2043-11-10
L002799,C04456,3727520,60,13.7,Education Loan,Active,2024-11-21,2029-10-26
L002800,C07424,4859573,180,13.68,Personal Loan,Closed,2024-09-18,2039-07-02
L002801,C01954,158862,84,12.72,Business Loan,Active,2022-12-12,2029-11-05
L002802,C02016,2141314,180,7.59,Education Loan,Closed,2021-03-10,2035-12-22
L002803,C00119,738291,60,9.38,Home Loan,Active,2023-03-19,2028-02-21
L002804,C02098,584139,36,13.02,Auto Loan,Active,2025-11-20,2028-11-04
L002805,C09560,1382225,24,11.48,Education Loan,Closed,2022-12-27,2024-12-16
L002806,C05888,877609,48,11.08,Personal Loan,Closed,2021-10-01,2025-09-10
L002807,C01347,1901623,36,17.35,Credit Line,Closed,2025-03-12,2028-02-25
L002808,C05088,3815168,180,11.37,Business Loan,Active,2021-03-25,2036-01-06
L002809,C09770,4543755,48,15.3,Home Loan,Active,2022-07-21,2026-06-30
L002810,C06203,2241702,48,9.82,Education Loan,Closed,2024-02-05,2028-01-15
L002811,C04405,4921593,24,7.73,Business Loan,Active,2021-07-24,2023-07-14
L002812,C00389,1565612,60,13.54,Credit Line,Closed,2022-10-25,2027-09-29
L002813,C05176,3851253,84,11.02,Credit Line,Active,2021-03-13,2028-02-05
L002814,C05925,87042,60,15.07,Business Loan,Active,2024-10-03,2029-09-07
L002815,C02778,680621,120,17.7,Business Loan,Active,2021-09-23,2031-08-02
L002816,C01899,4334634,36,14.73,Business Loan,Active,2023-01-17,2026-01-01
L002817,C06835,2303803,24,10.03,Home Loan,Closed,2022-06-28,2024-06-17
L002818,C02542,3478794,84,16.26,Home Loan,Active,2022-08-19,2029-07-13
L002819,C04757,469033,12,17.38,Personal Loan,Active,2023-09-04,2024-08-29
L002820,C09684,1817823,48,14.26,Credit Line,Active,2023-10-08,2027-09-17
L002821,C07410,2123553,24,7.82,Business Loan,Closed,2023-08-06,2025-07-26
L002822,C08923,3621873,180,17.05,Home Loan,Closed,2022-04-14,2037-01-25
L002823,C06532,2646769,48,13.94,Business Loan,Active,2022-11-28,2026-11-07
L002824,C07186,4752728,84,10.56,Business Loan,Active,2022-02-11,2029-01-05
L002825,C02474,660674,84,15.81,Personal Loan,Closed,2021-05-30,2028-04-23
L002826,C01914,1190643,36,17.17,Business Loan,Active,2025-07-07,2028-06-21
L002827,C04707,81992,36,11.51,Credit Line,Closed,2024-04-08,2027-03-24
L002828,C00346,488689,36,12.77,Home Loan,Active,2025-04-19,2028-04-03
L002829,C05472,4888550,84,13.8,Home Loan,Active,2025-04-26,2032-03-20
L002830,C01598,4830033,240,8.78,Personal Loan,Closed,2025-10-27,2045-07-14
L002831,C05041,3809910,240,7.77,Home Loan,Closed,2022-11-16,2042-08-03
L002832,C06684,942450,84,17.93,Business Loan,Closed,2023-11-03,2030-09-27
L002833,C01466,462078,60,7.72,Personal Loan,Active,2022-11-07,2027-10-12
L002834,C02377,4820442,48,14.06,Education Loan,Active,2024-03-18,2028-02-26
L002835,C08273,72530,180,13.8,Education Loan,Closed,2021-09-17,2036-06-30
L002836,C04986,1883333,120,11.58,Business Loan,Active,2025-09-14,2035-07-24
L002837,C00607,3783444,36,7.96,Education Loan,Closed,2021-09-12,2024-08-27
L002838,C06976,691706,240,16.9,Education Loan,Closed,2023-02-17,2042-11-04
L002839,C05666,1069263,36,11.5,Credit Line,Active,2025-10-24,2028-10-08
L002840,C03304,3578086,240,11.3,Auto Loan,Closed,2022-02-24,2041-11-11
L002841,C04603,1687980,12,14.04,Business Loan,Closed,2025-05-14,2026-05-09
L002842,C04196,2033435,36,15.42,Business Loan,Active,2025-03-22,2028-03-06
L002843,C08917,377458,240,17.73,Business Loan,Active,2021-03-26,2040-12-11
L002844,C02948,1599067,240,12.53,Credit Line,Active,2022-09-04,2042-05-22
L002845,C08092,1605595,180,11.68,Education Loan,Active,2023-07-24,2038-05-06
L002846,C01252,1012380,24,11.03,Home Loan,Active,2022-07-30,2024-07-19
L002847,C06764,3561203,240,17.65,Credit Line,Active,2023-08-06,2043-04-23
L002848,C00091,576908,240,7.61,Auto Loan,Active,2024-03-25,2043-12-11
L002849,C02697,3696843,24,12.41,Business Loan,Defaulted,2024-11-12,2026-11-02
L002850,C02610,3920693,240,8.04,Personal Loan,Active,2024-09-25,2044-06-12
L002851,C06025,1394529,60,15.1,Home Loan,Defaulted,2022-10-16,2027-09-20
L002852,C06812,499338,120,12.92,Personal Loan,Active,2022-03-22,2032-01-29
L002853,C06254,4596864,48,8.95,Personal Loan,Active,2021-10-14,2025-09-23
L002854,C05094,3625923,48,8.19,Credit Line,Closed,2024-03-18,2028-02-26
L002855,C01542,2511459,36,15.87,Home Loan,Active,2025-12-05,2028-11-19
L002856,C08436,371272,84,11.19,Education Loan,Active,2023-09-26,2030-08-20
L002857,C07720,1516109,240,15.12,Credit Line,Closed,2025-10-05,2045-06-22
L002858,C01494,4618790,12,14.24,Auto Loan,Active,2023-09-17,2024-09-11
L002859,C08446,484544,240,16.71,Personal Loan,Defaulted,2022-10-29,2042-07-16
L002860,C06652,2108174,120,9.35,Education Loan,Closed,2021-12-25,2031-11-03
L002861,C06065,97400,12,16.96,Credit Line,Active,2022-04-15,2023-04-10
L002862,C01880,1411968,24,10.75,Credit Line,Active,2022-03-04,2024-02-22
L002863,C00693,1743962,84,12.36,Home Loan,Closed,2021-05-20,2028-04-13
L002864,C09708,4131212,84,12.06,Credit Line,Active,2022-04-29,2029-03-23
L002865,C03067,3961025,60,14.2,Education Loan,Active,2024-08-06,2029-07-11
L002866,C05782,4416558,240,11.7,Education Loan,Closed,2025-05-27,2045-02-11
L002867,C09713,4192469,120,11.6,Credit Line,Active,2021-07-18,2031-05-27
L002868,C00015,956296,48,10.61,Personal Loan,Defaulted,2023-10-28,2027-10-07
L002869,C00262,4972014,48,9.87,Education Loan,Active,2022-07-13,2026-06-22
L002870,C05651,830285,120,12.5,Credit Line,Closed,2023-06-29,2033-05-07
L002871,C04689,235084,24,10.47,Credit Line,Active,2023-06-06,2025-05-26
L002872,C03706,4146190,84,17.41,Home Loan,Closed,2025-02-09,2032-01-04
L002873,C00514,1378849,240,11.0,Business Loan,Active,2021-09-08,2041-05-26
L002874,C09133,1025743,12,12.89,Education Loan,Active,2021-09-10,2022-09-05
L002875,C04628,4264895,120,14.91,Personal Loan,Active,2021-01-20,2030-11-29
L002876,C01231,349211,12,11.79,Auto Loan,Closed,2023-04-23,2024-04-17
L002877,C00112,4410509,36,9.97,Business Loan,Closed,2022-03-18,2025-03-02
L002878,C00458,2040258,240,13.48,Education Loan,Active,2023-01-20,2042-10-07
L002879,C07989,2628498,180,15.65,Auto Loan,Active,2023-02-19,2037-12-02
L002880,C01121,3243330,48,9.57,Education Loan,Closed,2024-06-29,2028-06-08
L002881,C06256,848796,36,9.11,Credit Line,Active,2022-08-21,2025-08-05
L002882,C09706,1799625,48,13.3,Home Loan,Active,2023-11-27,2027-11-06
L002883,C02160,3375458,48,15.88,Auto Loan,Closed,2024-02-18,2028-01-28
L002884,C00444,4491223,48,9.48,Credit Line,Closed,2025-02-04,2029-01-14
L002885,C06912,3433213,84,13.45,Home Loan,Defaulted,2022-08-04,2029-06-28
L002886,C08256,3292297,12,16.46,Credit Line,Active,2021-07-10,2022-07-05
L002887,C08865,4957630,84,11.13,Education Loan,Closed,2023-05-09,2030-04-02
L002888,C06794,4332804,48,14.86,Auto Loan,Closed,2024-04-23,2028-04-02
L002889,C04486,4703579,12,14.57,Auto Loan,Closed,2025-04-15,2026-04-10
L002890,C01009,1991576,60,16.46,Auto Loan,Active,2024-05-12,2029-04-16
L002891,C01703,396171,84,11.94,Home Loan,Closed,2025-12-14,2032-11-07
L002892,C09421,2603168,120,8.62,Education Loan,Closed,2022-09-23,2032-08-01
L002893,C01534,3511724,36,12.71,Credit Line,Active,2023-07-26,2026-07-10
L002894,C02219,3007840,12,14.1,Credit Line,Active,2022-05-23,2023-05-18
L002895,C03193,2246039,24,11.89,Auto Loan,Active,2022-10-24,2024-10-13
L002896,C09804,4679344,84,8.04,Personal Loan,Active,2025-12-29,2032-11-22
L002897,C05823,1710154,180,14.59,Personal Loan,Active,2025-03-28,2040-01-09
L002898,C05465,1021845,48,7.68,Business Loan,Active,2023-02-27,2027-02-06
L002899,C02178,2583493,12,16.93,Auto Loan,Active,2021-07-04,2022-06-29
L002900,C01398,930489,240,11.04,Education Loan,Closed,2022-04-06,2041-12-22
L002901,C07747,1189108,120,17.71,Credit Line,Active,2021-01-26,2030-12-05
L002902,C08069,2067031,48,10.39,Credit Line,Active,2021-08-06,2025-07-16
L002903,C08787,1964459,24,13.97,Home Loan,Active,2025-09-04,2027-08-25
L002904,C06018,4180483,24,16.05,Business Loan,Active,2023-05-15,2025-05-04
L002905,C00445,952724,240,13.93,Auto Loan,Active,2022-03-21,2041-12-06
L002906,C01805,889265,24,11.36,Home Loan,Active,2023-11-25,2025-11-14
L002907,C00489,1735745,60,14.76,Credit Line,Active,2023-03-11,2028-02-13
L002908,C01361,1604343,84,16.09,Credit Line,Active,2023-12-19,2030-11-12
L002909,C02106,3044972,36,8.54,Business Loan,Closed,2024-02-10,2027-01-25
L002910,C09453,598018,240,16.59,Personal Loan,Closed,2024-01-03,2043-09-20
L002911,C01860,1659015,120,8.99,Education Loan,Active,2023-10-23,2033-08-31
L002912,C05795,1059518,84,12.92,Personal Loan,Closed,2024-06-06,2031-05-01
L002913,C08995,1721427,48,13.74,Auto Loan,Closed,2023-04-04,2027-03-14
L002914,C00525,4982939,180,7.55,Education Loan,Active,2024-09-28,2039-07-12
L002915,C00237,3976686,180,14.65,Home Loan,Closed,2022-01-12,2036-10-25
L002916,C02904,1676608,84,10.42,Auto Loan,Active,2021-06-06,2028-04-30
L002917,C00323,4300640,240,13.37,Education Loan,Active,2024-03-10,2043-11-26
L002918,C02213,3876045,180,9.64,Business Loan,Closed,2021-01-29,2035-11-12
L002919,C09233,4610577,240,17.14,Credit Line,Closed,2025-10-22,2045-07-09
L002920,C03409,1124090,180,15.28,Home Loan,Closed,2023-06-09,2038-03-22
L002921,C03918,1533275,36,17.51,Credit Line,Defaulted,2025-02-01,2028-01-17
L002922,C01449,1753981,24,13.93,Education Loan,Closed,2021-10-09,2023-09-29
L002923,C07528,1958371,240,12.35,Education Loan,Active,2024-10-14,2044-07-01
L002924,C04576,332115,84,14.03,Personal Loan,Active,2023-10-09,2030-09-02
L002925,C06870,4940442,60,10.2,Home Loan,Active,2022-01-19,2026-12-24
L002926,C08143,3962417,48,16.92,Business Loan,Active,2021-08-05,2025-07-15
L002927,C10000,791932,120,9.22,Credit Line,Active,2024-06-24,2034-05-03
L002928,C07171,4332296,36,8.98,Home Loan,Active,2024-09-21,2027-09-06
L002929,C02862,3151012,240,13.18,Business Loan,Active,2023-11-17,2043-08-04
L002930,C06292,675047,24,14.25,Home Loan,Closed,2023-12-02,2025-11-21
L002931,C02726,2397574,36,14.85,Auto Loan,Active,2024-03-21,2027-03-06
L002932,C05004,1256078,36,11.52,Education Loan,Active,2023-08-29,2026-08-13
L002933,C06435,4349134,36,16.69,Education Loan,Closed,2022-12-15,2025-11-29
L002934,C03474,554903,36,10.54,Education Loan,Active,2025-10-10,2028-09-24
L002935,C04443,3504084,240,16.31,Auto Loan,Active,2024-09-27,2044-06-14
L002936,C06197,4228692,84,10.3,Auto Loan,Active,2024-11-11,2031-10-06
L002937,C06129,4899887,60,15.74,Auto Loan,Active,2025-04-20,2030-03-25
L002938,C03155,2619156,84,7.3,Credit Line,Active,2021-12-04,2028-10-28
L002939,C03100,1755715,12,9.91,Business Loan,Active,2021-08-11,2022-08-06
L002940,C09024,2839352,60,17.52,Credit Line,Active,2021-05-17,2026-04-21
L002941,C00151,4664428,12,12.45,Credit Line,Active,2024-02-14,2025-02-08
L002942,C05207,280618,36,14.16,Credit Line,Active,2021-06-03,2024-05-18
L002943,C05230,3237669,180,11.57,Business Loan,Active,2022-07-29,2037-05-11
L002944,C09009,3461151,84,15.52,Personal Loan,Active,2021-08-07,2028-07-01
L002945,C02570,3184340,60,17.96,Personal Loan,Active,2024-03-13,2029-02-15
L002946,C07132,396253,84,11.06,Personal Loan,Defaulted,2025-07-18,2032-06-11
L002947,C00739,2845891,60,15.95,Personal Loan,Closed,2025-06-09,2030-05-14
L002948,C01686,2125413,12,7.77,Business Loan,Defaulted,2022-05-31,2023-05-26
L002949,C09251,3567292,24,16.29,Credit Line,Closed,2024-10-06,2026-09-26
L002950,C00556,1669292,36,16.08,Personal Loan,Active,2024-09-05,2027-08-21
L002951,C01893,1065820,60,17.84,Business Loan,Active,2025-01-21,2029-12-26
L002952,C09874,1982300,60,11.09,Business Loan,Active,2021-12-06,2026-11-10
L002953,C07985,4489654,240,13.14,Auto Loan,Active,2023-08-30,2043-05-17
L002954,C03116,3638092,180,8.01,Auto Loan,Closed,2024-12-06,2039-09-19
L002955,C02176,3477109,60,16.51,Credit Line,Active,2024-07-13,2029-06-17
L002956,C04537,1507690,48,10.33,Home Loan,Closed,2025-12-23,2029-12-02
L002957,C06890,3253269,84,9.92,Education Loan,Closed,2025-11-05,2032-09-29
L002958,C09084,1300676,48,11.0,Business Loan,Active,2022-08-29,2026-08-08
L002959,C05516,174108,24,11.16,Personal Loan,Active,2022-04-24,2024-04-13
L002960,C01988,2376281,24,9.84,Auto Loan,Active,2025-09-10,2027-08-31
L002961,C01806,3717070,60,13.28,Home Loan,Closed,2025-01-11,2029-12-16
L002962,C06074,761218,12,15.16,Personal Loan,Closed,2025-05-03,2026-04-28
L002963,C08210,4204995,12,13.24,Auto Loan,Defaulted,2021-11-05,2022-10-31
L002964,C07226,2070493,240,13.66,Credit Line,Closed,2022-12-05,2042-08-22
L002965,C08944,2690185,240,13.84,Home Loan,Active,2024-09-18,2044-06-05
L002966,C06619,4470196,48,16.81,Home Loan,Closed,2025-12-19,2029-11-28
L002967,C03347,973029,36,17.31,Business Loan,Defaulted,2022-12-13,2025-11-27
L002968,C07831,3859413,36,16.16,Business Loan,Closed,2023-08-27,2026-08-11
L002969,C04551,1454252,120,11.34,Credit Line,Active,2023-07-13,2033-05-21
L002970,C09281,4044942,36,8.82,Personal Loan,Active,2023-04-24,2026-04-08
L002971,C03284,1998909,12,14.87,Home Loan,Closed,2022-10-09,2023-10-04
L002972,C08535,695688,84,17.25,Personal Loan,Active,2024-11-27,2031-10-22
L002973,C02267,2286078,36,8.39,Home Loan,Closed,2023-12-03,2026-11-17
L002974,C01705,4270446,240,11.44,Credit Line,Active,2024-06-23,2044-03-10
L002975,C08735,3233567,60,9.41,Business Loan,Closed,2025-11-10,2030-10-15
L002976,C08794,4438990,60,16.4,Credit Line,Closed,2024-03-12,2029-02-14
L002977,C09074,3889289,84,10.22,Personal Loan,Closed,2025-12-22,2032-11-15
L002978,C06916,3348940,48,14.92,Personal Loan,Active,2023-04-29,2027-04-08
L002979,C06634,2113186,240,8.05,Business Loan,Closed,2021-02-21,2040-11-08
L002980,C04686,3494458,180,17.47,Business Loan,Closed,2021-03-07,2035-12-19
L002981,C02795,267337,84,16.68,Education Loan,Active,2021-04-01,2028-02-24
L002982,C02983,3046372,180,14.72,Home Loan,Active,2022-11-03,2037-08-16
L002983,C02222,2195978,84,11.4,Business Loan,Active,2022-11-09,2029-10-03
L002984,C03376,2581094,84,9.71,Personal Loan,Active,2021-04-12,2028-03-06
L002985,C03747,851557,180,8.46,Home Loan,Active,2025-04-19,2040-01-31
L002986,C09277,3496689,240,13.41,Personal Loan,Closed,2021-12-05,2041-08-22
L002987,C06098,4036538,36,8.76,Education Loan,Closed,2025-05-31,2028-05-15
L002988,C09477,1823741,120,9.84,Education Loan,Active,2024-02-27,2034-01-05
L002989,C05010,4250140,48,10.57,Personal Loan,Closed,2024-07-11,2028-06-20
L002990,C00854,725784,180,12.12,Auto Loan,Active,2024-08-13,2039-05-27
L002991,C02256,1319592,60,15.5,Personal Loan,Active,2024-12-28,2029-12-02
L002992,C05551,2656871,180,14.23,Auto Loan,Active,2022-07-04,2037-04-16
L002993,C06764,3023804,24,8.77,Education Loan,Active,2022-08-06,2024-07-26
L002994,C08973,4258076,84,12.09,Home Loan,Active,2025-07-16,2032-06-09
L002995,C07022,944779,24,17.5,Business Loan,Active,2023-01-03,2024-12-23
L002996,C04629,3439651,84,14.28,Credit Line,Active,2025-11-07,2032-10-01
L002997,C01697,2189913,36,17.07,Credit Line,Closed,2024-04-17,2027-04-02
L002998,C07453,4321267,120,12.97,Personal Loan,Active,2022-06-27,2032-05-05
L002999,C09687,3797266,120,9.77,Business Loan,Defaulted,2024-10-15,2034-08-24
L003000,C07224,3458452,36,11.59,Credit Line,Active,2025-09-04,2028-08-19
L003001,C05671,566137,120,17.59,Education Loan,Active,2023-06-26,2033-05-04
L003002,C08568,3836595,24,16.63,Education Loan,Active,2022-09-01,2024-08-21
L003003,C00294,2414409,240,12.32,Business Loan,Active,2023-11-16,2043-08-03
L003004,C08102,3338838,240,14.18,Business Loan,Closed,2021-07-08,2041-03-25
L003005,C01717,1422404,84,7.07,Business Loan,Active,2024-11-29,2031-10-24
L003006,C01663,4749879,240,9.97,Business Loan,Closed,2025-08-14,2045-05-01
L003007,C01453,4997515,120,10.05,Business Loan,Active,2023-03-12,2033-01-18
L003008,C08626,2981713,48,17.58,Education Loan,Active,2021-02-01,2025-01-11
L003009,C00819,1468268,60,13.57,Personal Loan,Closed,2025-08-14,2030-07-19
